post_id,text,category,borough,location,post_date,likes,shares,comments,engagement_score,sentiment_polarity,sentiment_subjectivity,sentiment_label
post_000075,Hospital wait times are crazy in Manhattan. So many people with respiratory issues today.,health_concern,manhattan,Manhattan,2025-08-26T10:59:15.502462,114,27,20,235,-0.05,0.7,neutral
post_000076,Air quality alert for Brooklyn - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,brooklyn,Brooklyn,2025-04-16T10:59:15.502462,470,5,0,485,0.0,0.0,neutral
post_000077,Storm surge warnings for Midtown. Time to move everything upstairs again. #StormSurge,flood_concern,manhattan,Midtown,2025-08-03T10:59:15.502462,146,75,44,459,0.0,0.0,neutral
post_000078,Another trip to the ER because of cough. When will Longislandcity address the air pollution? #PublicHealth,health_concern,queens,Longislandcity,2025-05-08T10:59:15.502462,227,5,12,266,0.0,0.0,neutral
post_000079,Third time this month - Midtown streets are underwater after heavy rain. #UrbanFlooding,flood_concern,manhattan,Midtown,2025-09-15T10:59:15.503765,201,68,3,411,-0.1,0.25,neutral
post_000080,"Green space in Flushing being destroyed for development. We need more trees, not less! #Environment",environmental_concern,queens,Flushing,2025-07-24T10:59:15.503765,245,55,22,454,0.135,0.289,positive
post_000081,Basement flooded AGAIN in Uppereastside. City needs better drainage infrastructure! #FloodDamage,flood_concern,manhattan,Uppereastside,2025-09-06T10:59:15.503765,416,21,0,479,0.625,0.5,positive
post_000082,Storm surge warnings for Brooklyn. Time to move everything upstairs again. #StormSurge,flood_concern,brooklyn,Brooklyn,2025-06-08T10:59:15.503765,350,54,18,548,0.0,0.0,neutral
post_000083,Storm surge warnings for Chinatown. Time to move everything upstairs again. #StormSurge,flood_concern,manhattan,Chinatown,2025-05-14T10:59:15.503765,13,55,25,228,0.0,0.0,neutral
post_000084,Storm surge warnings for Manhattan. Time to move everything upstairs again. #StormSurge,flood_concern,manhattan,Manhattan,2025-07-21T10:59:15.503765,400,16,33,514,0.0,0.0,neutral
post_000085,Kids can't play outside in Astoria - air quality index is through the roof! #HealthAlert,health_concern,queens,Astoria,2025-04-14T10:59:15.504805,352,57,19,561,0.0,0.05,neutral
post_000086,Construction dust in Uppereastside is making everyone sick. Where's the oversight? #Pollution,environmental_concern,manhattan,Uppereastside,2025-04-19T10:59:15.504805,262,31,4,363,-0.714,0.857,negative
post_000087,Another trip to the ER because of cough. When will Astoria address the air pollution? #PublicHealth,health_concern,queens,Astoria,2025-05-16T10:59:15.504805,324,10,8,370,0.0,0.0,neutral
post_000088,Hospital wait times are crazy in Southbronx. So many people with respiratory issues today.,health_concern,bronx,Southbronx,2025-07-24T10:59:15.504805,372,14,19,452,-0.05,0.7,neutral
post_000089,Asthma attacks increasing in our neighborhood. Something needs to be done about New Dorp air quality.,health_concern,staten_island,New Dorp,2025-07-09T10:59:15.504805,235,56,33,469,0.136,0.455,positive
post_000090,Subway station at Brooklyn completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,brooklyn,Brooklyn,2025-09-21T10:59:15.504805,27,65,48,318,0.1,0.4,neutral
post_000091,Hospital wait times are crazy in New Dorp. So many people with respiratory issues today.,health_concern,staten_island,New Dorp,2025-08-09T10:59:15.505808,496,44,33,694,0.012,0.618,neutral
post_000092,Air quality is terrible in Queens today. My allergies is acting up again. #NYC #AirQuality,health_concern,queens,Queens,2025-05-04T10:59:15.505808,80,58,33,320,-0.5,0.5,negative
post_000093,Another trip to the ER because of allergies. When will New Dorp address the air pollution? #PublicHealth,health_concern,staten_island,New Dorp,2025-10-05T10:59:15.505808,58,34,38,236,0.136,0.455,positive
post_000094,Air quality is terrible in St George today. My allergies is acting up again. #NYC #AirQuality,health_concern,staten_island,St George,2025-05-30T10:59:15.505808,50,18,39,182,-0.5,0.5,negative
post_000095,Third time this month - Statenisland streets are underwater after heavy rain. #UrbanFlooding,flood_concern,staten_island,Statenisland,2025-04-25T10:59:15.505808,297,46,6,447,-0.1,0.25,neutral
post_000096,Another trip to the ER because of cough. When will New Dorp address the air pollution? #PublicHealth,health_concern,staten_island,New Dorp,2025-05-20T10:59:15.505808,22,66,34,288,0.136,0.455,positive
post_000097,Basement flooded AGAIN in New Dorp. City needs better drainage infrastructure! #FloodDamage,flood_concern,staten_island,New Dorp,2025-07-16T10:59:15.507172,394,9,12,445,0.381,0.477,positive
post_000098,Storm surge warnings for Crownheights. Time to move everything upstairs again. #StormSurge,flood_concern,brooklyn,Crownheights,2025-04-26T10:59:15.507172,372,73,39,669,0.0,0.0,neutral
post_000099,Chemical smell in Uppereastside - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,manhattan,Uppereastside,2025-08-26T10:59:15.507172,248,18,4,310,0.0,0.0,neutral
post_000100,Subway station at Uppereastside completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,manhattan,Uppereastside,2025-10-02T10:59:15.507172,427,90,16,729,0.1,0.4,neutral
post_000101,Street flooding again in Bronx! This happens every time it rains. #Flooding #NYC,flood_concern,bronx,Bronx,2025-08-10T10:59:15.507172,336,70,38,622,0.0,0.0,neutral
post_000102,Air quality alert for Jackson Heights - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,queens,Jackson Heights,2025-06-12T10:59:15.508209,450,0,40,530,0.0,0.0,neutral
post_000103,Third time this month - Bronx streets are underwater after heavy rain. #UrbanFlooding,flood_concern,bronx,Bronx,2025-04-23T10:59:15.508209,56,55,49,319,-0.1,0.25,neutral
post_000104,Kids can't play outside in Midtown - air quality index is through the roof! #HealthAlert,health_concern,manhattan,Midtown,2025-05-15T10:59:15.508209,443,36,43,637,0.0,0.05,neutral
post_000105,Air quality is terrible in Southbronx today. My breathing problems is acting up again. #NYC #AirQuality,health_concern,bronx,Southbronx,2025-07-14T10:59:15.508209,80,11,3,119,-0.5,0.5,negative
post_000106,Air quality alert for Huntspoint - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,bronx,Huntspoint,2025-06-26T10:59:15.508209,223,88,20,527,0.0,0.0,neutral
post_000107,Construction dust in Bedstuy is making everyone sick. Where's the oversight? #Pollution,environmental_concern,brooklyn,Bedstuy,2025-07-18T10:59:15.508209,326,66,40,604,-0.714,0.857,negative
post_000108,Chemical smell in Southbronx - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,bronx,Southbronx,2025-07-25T10:59:15.509213,351,49,15,528,0.0,0.0,neutral
post_000109,Heat wave hitting Mott Haven hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,bronx,Mott Haven,2025-08-11T10:59:15.509213,409,36,14,545,-0.292,0.542,negative
post_000110,Construction dust in St George is making everyone sick. Where's the oversight? #Pollution,environmental_concern,staten_island,St George,2025-06-09T10:59:15.509213,193,90,7,477,-0.714,0.857,negative
post_000111,Street flooding again in Chinatown! This happens every time it rains. #Flooding #NYC,flood_concern,manhattan,Chinatown,2025-07-05T10:59:15.509213,6,4,47,112,0.0,0.0,neutral
post_000112,Subway station at Lowereastside completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,manhattan,Lowereastside,2025-09-21T10:59:15.509213,29,76,7,271,0.1,0.4,neutral
post_000113,Third time this month - Midtown streets are underwater after heavy rain. #UrbanFlooding,flood_concern,manhattan,Midtown,2025-09-10T10:59:15.510180,95,12,43,217,-0.1,0.25,neutral
post_000114,Chemical smell in St George - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,staten_island,St George,2025-05-11T10:59:15.510180,416,81,0,659,0.0,0.0,neutral
post_000115,"Green space in Tottenville being destroyed for development. We need more trees, not less! #Environment",environmental_concern,staten_island,Tottenville,2025-05-27T10:59:15.510180,481,7,26,554,0.135,0.289,positive
post_000116,Kids can't play outside in Uppereastside - air quality index is through the roof! #HealthAlert,health_concern,manhattan,Uppereastside,2025-09-06T10:59:15.510180,150,5,10,185,0.0,0.05,neutral
post_000117,"Green space in Crownheights being destroyed for development. We need more trees, not less! #Environment",environmental_concern,brooklyn,Crownheights,2025-06-11T10:59:15.510180,21,8,5,55,0.135,0.289,positive
post_000118,Another trip to the ER because of allergies. When will Southbronx address the air pollution? #PublicHealth,health_concern,bronx,Southbronx,2025-04-29T10:59:15.510180,37,86,44,383,0.0,0.0,neutral
post_000119,Subway station at Bronx completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,bronx,Bronx,2025-07-20T10:59:15.511356,461,20,38,597,0.1,0.4,neutral
post_000120,Chemical smell in Lowereastside - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,manhattan,Lowereastside,2025-09-24T10:59:15.511356,463,97,41,836,0.0,0.0,neutral
post_000121,Construction dust in St George is making everyone sick. Where's the oversight? #Pollution,environmental_concern,staten_island,St George,2025-08-10T10:59:15.511356,115,6,7,147,-0.714,0.857,negative
post_000122,Subway station at Uppereastside completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,manhattan,Uppereastside,2025-04-30T10:59:15.511356,390,7,44,499,0.1,0.4,neutral
post_000123,Another trip to the ER because of allergies. When will Manhattan address the air pollution? #PublicHealth,health_concern,manhattan,Manhattan,2025-07-27T10:59:15.511356,361,29,13,474,0.0,0.0,neutral
post_000124,Air quality is terrible in Longislandcity today. My cough is acting up again. #NYC #AirQuality,health_concern,queens,Longislandcity,2025-07-06T10:59:15.512395,274,1,36,349,-0.5,0.5,negative
post_000125,Street flooding again in Parkslope! This happens every time it rains. #Flooding #NYC,flood_concern,brooklyn,Parkslope,2025-08-02T10:59:15.512395,246,28,22,374,0.0,0.0,neutral
post_000126,Another trip to the ER because of breathing problems. When will Chinatown address the air pollution? #PublicHealth,health_concern,manhattan,Chinatown,2025-05-14T10:59:15.512395,58,89,16,357,0.0,0.0,neutral
post_000127,Third time this month - Statenisland streets are underwater after heavy rain. #UrbanFlooding,flood_concern,staten_island,Statenisland,2025-09-11T10:59:15.512395,287,20,47,441,-0.1,0.25,neutral
post_000128,Third time this month - St George streets are underwater after heavy rain. #UrbanFlooding,flood_concern,staten_island,St George,2025-05-05T10:59:15.512395,147,35,50,352,-0.1,0.25,neutral
post_000129,Asthma attacks increasing in our neighborhood. Something needs to be done about Mott Haven air quality.,health_concern,bronx,Mott Haven,2025-06-28T10:59:15.512395,400,23,11,491,0.0,0.0,neutral
post_000130,Storm surge warnings for Southbronx. Time to move everything upstairs again. #StormSurge,flood_concern,bronx,Southbronx,2025-08-01T10:59:15.513394,61,70,11,293,0.0,0.0,neutral
post_000131,Construction dust in Mott Haven is making everyone sick. Where's the oversight? #Pollution,environmental_concern,bronx,Mott Haven,2025-05-17T10:59:15.513394,401,48,26,597,-0.714,0.857,negative
post_000132,Kids can't play outside in Bronx - air quality index is through the roof! #HealthAlert,health_concern,bronx,Bronx,2025-06-14T10:59:15.513394,76,41,1,201,0.0,0.05,neutral
post_000133,Kids can't play outside in Elmhurst - air quality index is through the roof! #HealthAlert,health_concern,queens,Elmhurst,2025-07-16T10:59:15.513394,386,18,41,522,0.0,0.05,neutral
post_000134,Basement flooded AGAIN in Parkslope. City needs better drainage infrastructure! #FloodDamage,flood_concern,brooklyn,Parkslope,2025-05-20T10:59:15.513394,97,9,39,202,0.625,0.5,positive
post_000135,Heat wave hitting Fordham hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,bronx,Fordham,2025-04-30T10:59:15.514365,484,36,2,596,-0.292,0.542,negative
post_000136,Kids can't play outside in Mott Haven - air quality index is through the roof! #HealthAlert,health_concern,bronx,Mott Haven,2025-05-02T10:59:15.514365,117,100,44,505,0.0,0.05,neutral
post_000137,Third time this month - Williamsburg streets are underwater after heavy rain. #UrbanFlooding,flood_concern,brooklyn,Williamsburg,2025-08-15T10:59:15.514365,148,94,45,520,-0.1,0.25,neutral
post_000138,Basement flooded AGAIN in Manhattan. City needs better drainage infrastructure! #FloodDamage,flood_concern,manhattan,Manhattan,2025-05-17T10:59:15.514365,445,29,34,600,0.625,0.5,positive
post_000139,Asthma attacks increasing in our neighborhood. Something needs to be done about Flushing air quality.,health_concern,queens,Flushing,2025-08-11T10:59:15.515818,36,44,15,198,0.0,0.0,neutral
post_000140,Air quality is terrible in Manhattan today. My breathing problems is acting up again. #NYC #AirQuality,health_concern,manhattan,Manhattan,2025-04-15T10:59:15.516144,46,80,21,328,-0.5,0.5,negative
post_000141,Another trip to the ER because of cough. When will Crownheights address the air pollution? #PublicHealth,health_concern,brooklyn,Crownheights,2025-05-21T10:59:15.516144,123,26,0,201,0.0,0.0,neutral
post_000142,Hospital wait times are crazy in Fordham. So many people with respiratory issues today.,health_concern,bronx,Fordham,2025-09-30T10:59:15.516144,301,73,37,594,-0.05,0.7,neutral
post_000143,Third time this month - St George streets are underwater after heavy rain. #UrbanFlooding,flood_concern,staten_island,St George,2025-10-10T10:59:15.516144,220,47,39,439,-0.1,0.25,neutral
post_000144,Hospital wait times are crazy in New Dorp. So many people with respiratory issues today.,health_concern,staten_island,New Dorp,2025-06-22T10:59:15.517194,61,3,22,114,0.012,0.618,neutral
post_000145,Heat wave hitting Chinatown hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,manhattan,Chinatown,2025-06-08T10:59:15.517194,65,82,50,411,-0.292,0.542,negative
post_000146,Air quality is terrible in Elmhurst today. My asthma is acting up again. #NYC #AirQuality,health_concern,queens,Elmhurst,2025-04-26T10:59:15.517194,165,61,17,382,-0.5,0.5,negative
post_000147,"Green space in New Dorp being destroyed for development. We need more trees, not less! #Environment",environmental_concern,staten_island,New Dorp,2025-05-22T10:59:15.517194,374,86,34,700,0.135,0.33,positive
post_000148,Storm surge warnings for Flushing. Time to move everything upstairs again. #StormSurge,flood_concern,queens,Flushing,2025-08-14T10:59:15.518207,418,60,37,672,0.0,0.0,neutral
post_000149,Construction dust in Dumbo is making everyone sick. Where's the oversight? #Pollution,environmental_concern,brooklyn,Dumbo,2025-07-13T10:59:15.518207,121,8,25,195,-0.714,0.857,negative
